flight_id,airline,origin,destination,departure_date,departure_time,arrival_date,arrival_time,latency_minutes,status
60,Air France,BCN,MAD,2024-02-29,18:21,2024-02-29,19:50,12,Delayed
61,British Airways,STN,DUB,2024-03-01,18:26,2024-03-01,19:15,13,On-Time
62,British Airways,VCE,CDG,2024-03-02,10:58,2024-03-02,13:00,42,Delayed
63,British Airways,LHR,DUB,2024-03-03,16:15,2024-03-03,17:25,5,On-Time
64,Ryanair,AMS,FCO,2024-03-04,13:41,2024-03-04,16:04,8,On-Time
65,easyJet,AMS,FCO,2024-03-05,06:58,2024-03-05,09:12,11,On-Time
66,Lufthansa,MAD,PMI,2024-03-06,10:53,2024-03-06,12:01,4,On-Time
67,easyJet,FRA,LHR,2024-03-07,20:21,2024-03-07,21:56,5,On-Time
68,easyJet,OPO,LIS,2024-03-08,08:21,2024-03-08,09:17,5,On-Time
69,KLM,MAD,PMI,2024-03-09,16:19,2024-03-09,17:14,4,On-Time
70,TAP Air Portugal,AMS,FCO,2024-03-10,16:53,2024-03-10,19:09,11,On-Time
71,British Airways,LIS,ORY,2024-03-11,21:02,2024-03-11,23:39,13,On-Time
72,Ryanair,LIS,ORY,2024-03-12,19:13,2024-03-12,21:26,0,On-Time
73,British Airways,LIS,ORY,2024-03-13,15:21,2024-03-13,17:54,1,On-Time
74,Swiss,ATH,FCO,2024-03-14,16:14,2024-03-14,18:07,7,On-Time
75,Vueling,AMS,FCO,2024-03-15,18:58,2024-03-15,21:11,6,On-Time
76,Air France,CDG,JFK,2024-03-16,21:47,2024-03-17,05:05,10,On-Time
77,Lufthansa,ZRH,BCN,2024-03-17,20:07,2024-03-17,21:52,0,On-Time
78,Iberia,OPO,LIS,2024-03-18,05:05,2024-03-18,05:44,10,On-Time
79,British Airways,BCN,MAD,2024-03-19,13:50,2024-03-19,15:22,6,On-Time
80,Swiss,BCN,MAD,2024-03-20,16:23,2024-03-20,17:46,72,Delayed
81,Swiss,MAD,PMI,2024-03-21,12:16,2024-03-21,13:32,37,Delayed
82,Ryanair,ATH,FCO,2024-03-22,19:20,2024-03-22,21:25,0,On-Time
83,easyJet,ZRH,BCN,2024-03-23,09:04,2024-03-23,10:54,4,On-Time
84,KLM,AMS,FCO,2024-03-24,06:22,2024-03-24,08:28,1,On-Time
85,TAP Air Portugal,BRU,CPH,2024-03-25,17:03,2024-03-25,18:39,0,On-Time
86,TAP Air Portugal,CDG,JFK,2024-03-26,19:12,2024-03-27,02:26,10,On-Time
87,Vueling,BRU,CPH,2024-03-27,19:37,2024-03-27,21:24,11,On-Time
88,TAP Air Portugal,VCE,CDG,2024-03-28,14:11,2024-03-28,16:08,3,On-Time
89,Ryanair,LIS,ORY,2024-03-29,05:29,2024-03-29,08:06,2,On-Time
90,Iberia,VCE,CDG,2024-03-30,20:41,2024-03-30,22:32,92,Cancelled
91,easyJet,CDG,JFK,2024-03-31,15:06,2024-03-31,21:55,0,On-Time
92,Iberia,CDG,JFK,2024-04-01,11:28,2024-04-01,18:36,12,On-Time
93,KLM,AMS,FCO,2024-04-02,09:44,2024-04-02,12:08,7,On-Time
94,easyJet,CDG,JFK,2024-04-03,08:49,2024-04-03,15:41,39,Delayed
95,Air France,ATH,FCO,2024-04-04,21:12,2024-04-04,23:15,9,On-Time
96,Iberia,ZRH,BCN,2024-04-05,06:57,2024-04-05,08:43,6,On-Time
97,Ryanair,ATH,FCO,2024-04-06,07:51,2024-04-06,09:46,9,On-Time
98,Vueling,CDG,JFK,2024-04-07,14:49,2024-04-07,22:01,11,On-Time
99,British Airways,FRA,LHR,2024-04-08,16:47,2024-04-08,18:25,7,On-Time
100,Vueling,ATH,FCO,2024-04-09,18:35,2024-04-09,20:25,0,On-Time
101,TAP Air Portugal,OPO,LIS,2024-04-10,06:10,2024-04-10,07:15,13,On-Time
102,Swiss,FRA,LHR,2024-04-11,21:23,2024-04-11,23:09,6,On-Time
103,Swiss,BRU,CPH,2024-04-12,12:25,2024-04-12,13:59,11,On-Time
104,easyJet,ATH,FCO,2024-04-13,12:56,2024-04-13,15:11,34,Delayed
105,Vueling,STN,DUB,2024-04-14,19:32,2024-04-14,20:30,69,Delayed
106,British Airways,ATH,FCO,2024-04-15,14:43,2024-04-15,16:55,13,On-Time
107,Swiss,VCE,CDG,2024-04-16,08:06,2024-04-16,10:20,7,On-Time
108,Vueling,BRU,CPH,2024-04-17,14:29,2024-04-17,15:52,0,On-Time
109,British Airways,FRA,LHR,2024-04-18,17:17,2024-04-18,19:06,6,On-Time
110,Swiss,ZRH,BCN,2024-04-19,06:35,2024-04-19,08:26,0,On-Time
111,British Airways,STN,DUB,2024-04-20,14:55,2024-04-20,16:01,0,On-Time
112,easyJet,AMS,FCO,2024-04-21,16:59,2024-04-21,19:26,4,On-Time
113,Ryanair,LHR,DUB,2024-04-22,17:18,2024-04-22,18:28,5,On-Time
114,Iberia,LHR,DUB,2024-04-23,17:36,2024-04-23,19:04,0,On-Time
115,Vueling,ATH,FCO,2024-04-24,15:11,2024-04-24,17:17,139,Cancelled
116,KLM,BCN,MAD,2024-04-25,05:14,2024-04-25,06:25,0,On-Time
117,Air France,MXP,VIE,2024-04-26,16:54,2024-04-26,18:15,6,On-Time
118,Air France,MAD,PMI,2024-04-27,13:00,2024-04-27,14:18,2,On-Time
119,Iberia,CDG,JFK,2024-04-28,21:03,2024-04-29,04:21,13,On-Time
120,Vueling,OPO,LIS,2024-04-29,05:54,2024-04-29,06:36,9,On-Time
121,Vueling,STN,DUB,2024-04-30,21:57,2024-04-30,22:55,6,On-Time
122,Vueling,LHR,DUB,2024-05-01,11:29,2024-05-01,12:55,13,Delayed
123,Ryanair,VCE,CDG,2024-05-02,21:53,2024-05-03,00:03,0,On-Time
124,Lufthansa,ATH,FCO,2024-05-03,15:40,2024-05-03,17:41,0,On-Time
125,Lufthansa,BCN,MAD,2024-05-04,07:57,2024-05-04,09:04,0,On-Time
126,Swiss,STN,DUB,2024-05-05,08:57,2024-05-05,09:58,11,On-Time
127,Swiss,FRA,LHR,2024-05-06,08:59,2024-05-06,10:38,19,Delayed
128,British Airways,LIS,ORY,2024-05-07,14:17,2024-05-07,16:44,0,On-Time
129,Ryanair,VCE,CDG,2024-05-08,06:13,2024-05-08,07:59,1,On-Time
130,Vueling,MUC,AMS,2024-05-09,12:29,2024-05-09,13:54,16,On-Time
131,Ryanair,BRU,CPH,2024-05-10,21:05,2024-05-10,22:45,3,On-Time
132,Air France,MUC,AMS,2024-05-11,17:32,2024-05-11,19:10,6,On-Time
133,Air France,FRA,LHR,2024-05-12,21:24,2024-05-12,22:48,111,Cancelled
134,Air France,ATH,FCO,2024-05-13,13:01,2024-05-13,15:17,25,Delayed
135,Iberia,MAD,PMI,2024-05-14,15:50,2024-05-14,17:09,89,Cancelled
136,KLM,OPO,LIS,2024-05-15,19:38,2024-05-15,20:21,7,On-Time
137,Swiss,STN,DUB,2024-05-16,21:07,2024-05-16,22:15,19,Delayed
138,KLM,STN,DUB,2024-05-17,06:58,2024-05-17,08:06,31,Delayed
139,Air France,OPO,LIS,2024-05-18,12:53,2024-05-18,13:52,0,On-Time
140,Swiss,OPO,LIS,2024-05-19,17:58,2024-05-19,18:34,4,On-Time
141,easyJet,BCN,MAD,2024-05-20,12:28,2024-05-20,14:02,15,On-Time
142,British Airways,BRU,CPH,2024-05-21,10:18,2024-05-21,11:41,4,On-Time
143,Lufthansa,LHR,DUB,2024-05-22,12:52,2024-05-22,13:57,15,On-Time
144,Ryanair,MXP,VIE,2024-05-23,09:39,2024-05-23,11:18,72,Delayed
145,Swiss,LHR,DUB,2024-05-24,14:24,2024-05-24,15:31,13,On-Time
146,Iberia,VCE,CDG,2024-05-25,09:42,2024-05-25,11:51,2,On-Time
147,easyJet,STN,DUB,2024-05-26,09:49,2024-05-26,10:51,14,Delayed
148,Iberia,ZRH,BCN,2024-05-27,13:15,2024-05-27,15:10,1,On-Time
149,easyJet,LIS,ORY,2024-05-28,20:55,2024-05-28,23:28,51,Delayed
150,TAP Air Portugal,LHR,DUB,2024-05-29,05:44,2024-05-29,07:02,5,On-Time
151,TAP Air Portugal,LIS,ORY,2024-05-30,18:31,2024-05-30,20:53,14,On-Time
152,Vueling,AMS,FCO,2024-05-31,19:55,2024-05-31,22:21,7,On-Time
153,Swiss,CDG,JFK,2024-06-01,11:59,2024-06-01,18:56,7,On-Time
154,Vueling,BRU,CPH,2024-06-02,16:05,2024-06-02,17:33,24,Delayed
155,easyJet,LIS,ORY,2024-06-03,15:41,2024-06-03,18:25,44,Delayed
156,Ryanair,LHR,DUB,2024-06-04,12:24,2024-06-04,13:28,6,On-Time
157,Lufthansa,ZRH,BCN,2024-06-05,16:50,2024-06-05,18:42,68,Delayed
158,Ryanair,AMS,FCO,2024-06-06,12:21,2024-06-06,14:28,9,On-Time
159,TAP Air Portugal,MAD,PMI,2024-06-07,18:31,2024-06-07,19:30,18,On-Time
160,Vueling,OPO,LIS,2024-06-08,13:29,2024-06-08,14:11,12,On-Time
161,Ryanair,ZRH,BCN,2024-06-09,16:22,2024-06-09,17:55,23,Delayed
162,easyJet,BCN,MAD,2024-06-10,12:32,2024-06-10,13:57,131,Cancelled
163,Ryanair,OPO,LIS,2024-06-11,16:46,2024-06-11,17:35,0,On-Time
164,Swiss,FRA,LHR,2024-06-12,11:30,2024-06-12,13:15,31,On-Time
165,Ryanair,CDG,JFK,2024-06-13,11:45,2024-06-13,18:50,14,On-Time
166,Air France,MUC,AMS,2024-06-14,17:43,2024-06-14,19:32,14,Delayed
167,Ryanair,ATH,FCO,2024-06-15,15:21,2024-06-15,17:31,7,On-Time
168,Iberia,OPO,LIS,2024-06-16,20:25,2024-06-16,21:00,10,On-Time
169,Swiss,CDG,JFK,2024-06-17,11:13,2024-06-17,18:09,2,On-Time
170,Iberia,LHR,DUB,2024-06-18,18:25,2024-06-18,19:46,17,On-Time
171,Ryanair,VCE,CDG,2024-06-19,09:23,2024-06-19,11:36,105,Cancelled
172,Lufthansa,ZRH,BCN,2024-06-20,07:24,2024-06-20,09:11,72,Delayed
173,TAP Air Portugal,VCE,CDG,2024-06-21,11:14,2024-06-21,13:02,60,Delayed
174,Swiss,AMS,FCO,2024-06-22,17:46,2024-06-22,20:00,6,On-Time
175,KLM,FRA,LHR,2024-06-23,08:59,2024-06-23,10:52,12,On-Time
176,Vueling,LHR,DUB,2024-06-24,06:04,2024-06-24,07:31,22,Delayed
177,Ryanair,OPO,LIS,2024-06-25,06:59,2024-06-25,07:40,28,On-Time
178,Lufthansa,FRA,LHR,2024-06-26,20:08,2024-06-26,21:39,11,On-Time
179,KLM,OPO,LIS,2024-06-27,21:08,2024-06-27,22:07,3,On-Time
180,Lufthansa,VCE,CDG,2024-06-28,15:30,2024-06-28,17:39,12,Delayed
181,Ryanair,CDG,JFK,2024-06-29,11:19,2024-06-29,18:20,19,On-Time
182,Lufthansa,OPO,LIS,2024-06-30,14:17,2024-06-30,15:12,1,On-Time
183,Ryanair,LHR,DUB,2024-07-01,21:11,2024-07-01,22:38,8,On-Time
184,Air France,CDG,JFK,2024-07-02,09:09,2024-07-02,16:05,62,Delayed
185,British Airways,FRA,LHR,2024-07-03,08:32,2024-07-03,10:08,41,Delayed
186,Vueling,CDG,JFK,2024-07-04,19:39,2024-07-05,02:36,185,Cancelled
187,easyJet,STN,DUB,2024-07-05,06:52,2024-07-05,07:36,0,On-Time
188,Vueling,AMS,FCO,2024-07-06,07:58,2024-07-06,10:12,15,On-Time
189,TAP Air Portugal,MXP,VIE,2024-07-07,17:43,2024-07-07,19:00,7,On-Time
190,Lufthansa,ZRH,BCN,2024-07-08,08:46,2024-07-08,10:21,0,On-Time
191,easyJet,STN,DUB,2024-07-09,15:58,2024-07-09,16:42,0,On-Time
192,Lufthansa,ZRH,BCN,2024-07-10,06:15,2024-07-10,07:53,6,On-Time
193,Iberia,FRA,LHR,2024-07-11,09:41,2024-07-11,11:24,1,On-Time
194,easyJet,MAD,PMI,2024-07-12,06:41,2024-07-12,07:36,29,Delayed
195,easyJet,BRU,CPH,2024-07-13,12:20,2024-07-13,14:11,12,Delayed
196,TAP Air Portugal,LIS,ORY,2024-07-14,10:20,2024-07-14,13:00,12,On-Time
197,Ryanair,AMS,FCO,2024-07-15,16:43,2024-07-15,19:11,7,On-Time
198,Lufthansa,BRU,CPH,2024-07-16,18:51,2024-07-16,20:22,3,On-Time
199,Vueling,MXP,VIE,2024-07-17,10:37,2024-07-17,11:57,17,On-Time
200,TAP Air Portugal,VCE,CDG,2024-07-18,21:31,2024-07-18,23:32,0,On-Time
201,KLM,FRA,LHR,2024-07-19,13:39,2024-07-19,15:15,0,On-Time
202,KLM,VCE,CDG,2024-07-20,11:16,2024-07-20,13:06,7,On-Time
203,Vueling,LHR,DUB,2024-07-21,19:25,2024-07-21,20:24,0,On-Time
204,Air France,BCN,MAD,2024-07-22,16:59,2024-07-22,18:21,14,Delayed
205,KLM,CDG,JFK,2024-07-23,19:50,2024-07-24,02:47,2,On-Time
206,Air France,FRA,LHR,2024-07-24,08:40,2024-07-24,10:27,8,On-Time
207,KLM,BCN,MAD,2024-07-25,10:19,2024-07-25,11:42,3,On-Time
208,Air France,BCN,MAD,2024-07-26,17:52,2024-07-26,18:58,4,On-Time
209,Ryanair,ZRH,BCN,2024-07-27,12:14,2024-07-27,14:18,1,On-Time
210,easyJet,FRA,LHR,2024-07-28,12:20,2024-07-28,13:50,8,On-Time
211,Vueling,ZRH,BCN,2024-07-29,16:23,2024-07-29,18:15,0,On-Time
212,Air France,LHR,DUB,2024-07-30,21:08,2024-07-30,22:19,11,On-Time
213,Ryanair,STN,DUB,2024-07-31,07:02,2024-07-31,07:45,2,On-Time
214,easyJet,BRU,CPH,2024-08-01,13:32,2024-08-01,15:17,7,On-Time
215,Air France,LIS,ORY,2024-08-02,12:50,2024-08-02,15:07,17,Delayed
216,TAP Air Portugal,STN,DUB,2024-08-03,11:54,2024-08-03,12:38,104,Cancelled
217,Iberia,ATH,FCO,2024-08-04,12:51,2024-08-04,15:02,8,On-Time
218,Vueling,LIS,ORY,2024-08-05,06:20,2024-08-05,08:58,26,Delayed
219,KLM,LHR,DUB,2024-08-06,18:17,2024-08-06,19:25,0,On-Time
220,British Airways,MUC,AMS,2024-08-07,10:59,2024-08-07,12:26,0,On-Time
221,Iberia,STN,DUB,2024-08-08,07:57,2024-08-08,08:49,3,On-Time
222,Swiss,ZRH,BCN,2024-08-09,17:58,2024-08-09,19:59,2,On-Time
223,Vueling,OPO,LIS,2024-08-10,21:50,2024-08-10,22:43,30,Delayed
224,Lufthansa,ZRH,BCN,2024-08-11,15:46,2024-08-11,17:38,30,Delayed
225,Vueling,CDG,JFK,2024-08-12,13:39,2024-08-12,20:31,3,On-Time
226,Ryanair,FRA,LHR,2024-08-13,19:44,2024-08-13,21:12,6,On-Time
227,easyJet,LIS,ORY,2024-08-14,14:54,2024-08-14,17:09,9,On-Time
228,KLM,MAD,PMI,2024-08-15,13:33,2024-08-15,14:30,13,Delayed
229,Swiss,FRA,LHR,2024-08-16,21:45,2024-08-16,23:13,8,On-Time
230,Swiss,ZRH,BCN,2024-08-17,13:55,2024-08-17,15:38,10,On-Time
231,Ryanair,LIS,ORY,2024-08-18,18:13,2024-08-18,20:47,15,On-Time
232,KLM,FRA,LHR,2024-08-19,06:36,2024-08-19,08:23,9,On-Time
233,Vueling,VCE,CDG,2024-08-20,10:41,2024-08-20,12:29,10,On-Time
234,TAP Air Portugal,BCN,MAD,2024-08-21,17:05,2024-08-21,18:13,11,On-Time
235,TAP Air Portugal,OPO,LIS,2024-08-22,18:52,2024-08-22,19:33,11,On-Time
236,easyJet,FRA,LHR,2024-08-23,16:26,2024-08-23,18:16,0,On-Time
237,Air France,AMS,FCO,2024-08-24,08:04,2024-08-24,10:15,6,On-Time
238,Iberia,BCN,MAD,2024-08-25,10:02,2024-08-25,11:11,1,On-Time
239,easyJet,VCE,CDG,2024-08-26,05:38,2024-08-26,07:42,20,Delayed
240,Iberia,BCN,MAD,2024-08-27,19:11,2024-08-27,20:24,0,On-Time
241,Air France,LIS,ORY,2024-08-28,16:32,2024-08-28,19:00,80,Cancelled
242,Swiss,LHR,DUB,2024-08-29,09:04,2024-08-29,10:21,87,Cancelled
243,Swiss,MUC,AMS,2024-08-30,11:16,2024-08-30,13:02,4,On-Time
244,easyJet,LIS,ORY,2024-08-31,18:56,2024-08-31,21:21,55,Delayed
245,Iberia,VCE,CDG,2024-09-01,05:53,2024-09-01,08:06,30,Delayed
246,easyJet,VCE,CDG,2024-09-02,09:51,2024-09-02,11:39,4,On-Time
247,Ryanair,ZRH,BCN,2024-09-03,07:30,2024-09-03,09:30,16,On-Time
248,KLM,MUC,AMS,2024-09-04,12:04,2024-09-04,13:25,0,On-Time
249,KLM,LHR,DUB,2024-09-05,21:58,2024-09-05,23:01,21,On-Time
250,KLM,ATH,FCO,2024-09-06,07:20,2024-09-06,09:10,8,On-Time
251,Swiss,BRU,CPH,2024-09-07,17:57,2024-09-07,19:50,8,On-Time
252,Ryanair,LHR,DUB,2024-09-08,14:21,2024-09-08,15:46,6,On-Time
253,Ryanair,LHR,DUB,2024-09-09,07:04,2024-09-09,08:05,0,On-Time
254,Lufthansa,FRA,LHR,2024-09-10,15:11,2024-09-10,16:35,0,On-Time
255,Vueling,LHR,DUB,2024-09-11,09:58,2024-09-11,11:23,0,On-Time
256,Iberia,OPO,LIS,2024-09-12,06:27,2024-09-12,07:23,13,On-Time
257,easyJet,MXP,VIE,2024-09-13,18:25,2024-09-13,20:10,0,On-Time
258,TAP Air Portugal,AMS,FCO,2024-09-14,17:45,2024-09-14,19:44,11,On-Time
259,Lufthansa,AMS,FCO,2024-09-15,17:30,2024-09-15,19:34,5,On-Time
260,Air France,AMS,FCO,2024-09-16,10:46,2024-09-16,12:55,21,Delayed
261,Swiss,BRU,CPH,2024-09-17,15:46,2024-09-17,17:20,66,Delayed
262,Swiss,CDG,JFK,2024-09-18,08:26,2024-09-18,15:16,50,Delayed
263,Air France,AMS,FCO,2024-09-19,13:47,2024-09-19,16:10,99,Cancelled
264,British Airways,STN,DUB,2024-09-20,19:42,2024-09-20,20:28,34,Delayed
265,KLM,STN,DUB,2024-09-21,18:38,2024-09-21,19:44,0,On-Time
266,TAP Air Portugal,AMS,FCO,2024-09-22,13:28,2024-09-22,15:57,10,On-Time
267,easyJet,STN,DUB,2024-09-23,17:24,2024-09-23,18:34,0,On-Time
268,easyJet,STN,DUB,2024-09-24,06:45,2024-09-24,07:33,0,On-Time
269,Ryanair,STN,DUB,2024-09-25,15:17,2024-09-25,16:27,0,On-Time
270,KLM,MAD,PMI,2024-09-26,09:41,2024-09-26,10:32,8,On-Time
271,TAP Air Portugal,AMS,FCO,2024-09-27,18:40,2024-09-27,20:48,53,Delayed
272,Swiss,CDG,JFK,2024-09-28,06:08,2024-09-28,13:11,13,On-Time
273,KLM,AMS,FCO,2024-09-29,21:12,2024-09-29,23:12,0,On-Time
274,KLM,ZRH,BCN,2024-09-30,14:47,2024-09-30,16:28,0,On-Time
275,TAP Air Portugal,AMS,FCO,2024-10-01,09:45,2024-10-01,11:58,147,Cancelled
276,easyJet,LIS,ORY,2024-10-02,07:00,2024-10-02,09:29,6,On-Time
277,Swiss,LHR,DUB,2024-10-03,09:52,2024-10-03,11:21,7,On-Time
278,Iberia,MUC,AMS,2024-10-04,06:29,2024-10-04,08:07,8,On-Time
279,Lufthansa,MXP,VIE,2024-10-05,09:57,2024-10-05,11:29,28,Delayed
280,Iberia,ATH,FCO,2024-10-06,13:40,2024-10-06,15:42,0,On-Time
281,British Airways,ATH,FCO,2024-10-07,09:02,2024-10-07,11:21,0,On-Time
282,easyJet,BCN,MAD,2024-10-08,20:05,2024-10-08,21:13,3,On-Time
283,TAP Air Portugal,BRU,CPH,2024-10-09,13:58,2024-10-09,15:47,7,On-Time
284,KLM,OPO,LIS,2024-10-10,12:40,2024-10-10,13:42,3,On-Time
285,KLM,BCN,MAD,2024-10-11,15:55,2024-10-11,17:09,11,On-Time
286,Air France,VCE,CDG,2024-10-12,13:50,2024-10-12,15:42,11,On-Time
287,Iberia,AMS,FCO,2024-10-13,10:54,2024-10-13,13:10,37,Delayed
288,easyJet,STN,DUB,2024-10-14,15:40,2024-10-14,16:42,15,On-Time
289,Lufthansa,MXP,VIE,2024-10-15,07:52,2024-10-15,09:14,0,On-Time
290,KLM,VCE,CDG,2024-10-16,05:42,2024-10-16,07:26,0,On-Time
291,Vueling,STN,DUB,2024-10-17,08:35,2024-10-17,09:44,20,On-Time
292,easyJet,STN,DUB,2024-10-18,21:19,2024-10-18,22:21,8,On-Time
293,TAP Air Portugal,STN,DUB,2024-10-19,06:14,2024-10-19,07:00,0,On-Time
294,KLM,MAD,PMI,2024-10-20,10:20,2024-10-20,11:28,9,On-Time
295,KLM,LIS,ORY,2024-10-21,17:58,2024-10-21,20:34,10,On-Time
296,Lufthansa,STN,DUB,2024-10-22,09:13,2024-10-22,10:05,9,On-Time
297,Ryanair,LIS,ORY,2024-10-23,12:08,2024-10-23,14:36,177,Cancelled
298,Vueling,BRU,CPH,2024-10-24,08:14,2024-10-24,09:47,0,On-Time
299,easyJet,ZRH,BCN,2024-10-25,20:00,2024-10-25,21:52,11,On-Time
300,Swiss,LHR,DUB,2024-10-26,14:57,2024-10-26,16:17,9,On-Time
301,Ryanair,ZRH,BCN,2024-10-27,20:03,2024-10-27,22:06,9,On-Time
302,Iberia,MUC,AMS,2024-10-28,17:24,2024-10-28,19:05,6,On-Time
303,KLM,CDG,JFK,2024-10-29,05:52,2024-10-29,12:52,4,On-Time
304,Swiss,ATH,FCO,2024-10-30,09:46,2024-10-30,11:41,12,On-Time
305,Lufthansa,LIS,ORY,2024-10-31,18:33,2024-10-31,21:07,3,On-Time
306,Vueling,MXP,VIE,2024-11-01,13:32,2024-11-01,14:47,8,On-Time
307,Iberia,BRU,CPH,2024-11-02,18:43,2024-11-02,20:36,14,On-Time
308,Iberia,AMS,FCO,2024-11-03,10:26,2024-11-03,12:34,17,On-Time
309,Vueling,BRU,CPH,2024-11-04,15:07,2024-11-04,16:51,0,On-Time
310,Vueling,STN,DUB,2024-11-05,18:55,2024-11-05,19:39,5,On-Time
311,Lufthansa,LIS,ORY,2024-11-06,10:15,2024-11-06,12:29,5,On-Time
